contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
release-please[bot],220,6,27,7,0.259,0.066,0.0,0.244,0.892,0.001,8.148,1.0,20.312,0.766,3.0,2.0,1.0,1.617,0.372,2.0,5.366,1.0,15.391,0.736,1.0,0.018,0.0,0.064,0.726,0.001,0.342,0.122,0.484,0.639,0.353,0.036,0.0,0.154,0.918,0.0,36.667,35.5,28.591,0.37,50.75
wildfly-ci,300,1,2,1,0.5,6.252,0.458,16.348,0.84,3.167,150.0,150.0,207.889,0.49,147.0,1.0,1.0,0.0,0.0,0.0,60.0,11.0,101.804,0.695,45.0,367.736,135.199,645.553,0.623,184.472,7.645,5.98,7.266,0.433,5.591,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
trim21,191,11,39,10,0.256,0.323,0.007,1.351,0.91,0.072,4.897,3.0,5.093,0.512,5.5,1.897,2.0,1.142,0.289,1.0,2.938,2.0,2.597,0.422,3.0,0.226,0.0,1.318,0.883,0.08,0.728,0.056,1.857,0.85,0.212,0.348,0.006,1.304,0.898,0.075,17.364,4.0,25.109,0.641,22.0
zhesun88,206,12,14,2,0.143,1.043,0.004,5.784,0.941,0.128,14.714,7.5,15.857,0.483,10.75,4.5,4.5,2.245,0.271,2.75,3.075,2.0,2.566,0.404,2.5,0.806,0.0,3.601,0.894,0.1,2.421,0.113,9.479,0.907,0.646,1.046,0.003,5.981,0.944,0.125,17.167,7.0,20.404,0.588,29.25
pantheon-ci-bot,226,8,16,3,0.188,5.986,0.0,65.879,0.987,0.002,14.125,7.5,12.137,0.441,24.0,3.562,3.0,2.308,0.337,5.0,5.65,1.0,8.746,0.649,3.0,0.079,0.0,0.4,0.859,0.007,34.454,0.013,156.77,0.937,0.092,7.247,0.0,76.927,0.984,0.003,28.25,12.0,36.492,0.564,21.75
ty-porter,158,15,7,5,0.714,13.245,0.035,43.692,0.901,2.534,22.571,1.0,37.166,0.698,33.5,3.857,1.0,4.914,0.54,4.5,7.182,6.0,6.246,0.469,9.75,31.937,0.18,68.948,0.692,44.898,65.567,25.583,89.547,0.648,80.037,15.37,0.024,48.838,0.901,2.625,10.533,7.0,13.866,0.553,8.0
actions-bot,200,4,14,2,0.143,8.457,0.319,16.215,0.721,13.354,14.286,10.0,20.013,0.439,2.0,1.643,1.0,0.842,0.252,1.0,2.105,1.0,5.177,0.448,1.0,2.495,0.0,15.789,0.933,0.003,15.382,12.91,16.754,0.492,14.112,3.479,0.001,10.71,0.853,0.466,50.0,34.0,36.111,0.285,19.0
kodiakhq[bot],194,6,42,32,0.762,0.055,0.002,0.14,0.82,0.03,4.619,2.5,6.0,0.506,2.75,2.214,2.0,1.001,0.241,2.0,2.985,2.0,2.342,0.357,2.0,0.008,0.0,0.021,0.752,0.004,0.157,0.095,0.209,0.608,0.195,0.05,0.001,0.142,0.842,0.02,32.333,34.0,27.097,0.426,45.25
peril-loadsmart[bot],35,3,4,1,0.25,61.55,0.417,120.09,0.778,68.912,8.75,1.5,14.841,0.65,8.25,1.75,1.5,0.957,0.25,1.25,5.833,2.0,10.381,0.633,0.75,319.56,0.174,703.371,0.706,126.273,35.071,20.611,32.657,0.439,60.052,57.099,6.611,90.689,0.683,70.702,11.667,14.0,8.737,0.324,8.5
ianchesal,61,8,10,8,0.8,34.673,21.147,51.509,0.65,45.997,6.1,1.0,15.088,0.739,0.75,1.4,1.0,0.699,0.214,0.75,3.588,1.0,3.906,0.505,4.0,92.198,0.0,189.35,0.588,75.835,32.062,15.519,40.845,0.63,45.575,30.697,7.244,39.983,0.648,53.425,7.625,1.0,16.775,0.736,1.75
