contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
flarnie,11,4,4,3,0.75,102.977,0.29,218.638,0.792,3.504,2.75,2.0,2.363,0.386,2.75,2.0,2.0,1.155,0.25,2.0,2.75,2.0,2.363,0.386,2.75,1.648,0.811,2.344,0.254,2.459,341.059,430.766,306.006,0.386,295.981,171.479,2.96,268.267,0.627,323.744,2.75,2.0,1.5,0.205,0.75
tbotnz,40,7,33,30,0.909,48.32,13.171,87.055,0.727,38.782,1.212,1.0,0.74,0.161,0.0,1.182,1.0,0.584,0.14,0.0,1.143,1.0,0.355,0.107,0.0,0.622,0.0,3.536,0.784,0.0,54.786,18.279,91.545,0.699,41.713,34.699,11.446,59.202,0.698,33.987,5.714,3.0,8.655,0.593,3.5
kubbot,162,6,11,2,0.182,1.534,0.001,4.537,0.898,0.134,14.727,4.0,25.004,0.698,12.5,2.364,2.0,1.502,0.329,2.5,2.842,1.0,2.957,0.478,3.0,1.055,0.0,4.406,0.869,0.002,3.336,0.488,5.875,0.75,4.296,3.697,0.467,6.347,0.743,5.301,27.0,19.5,31.73,0.512,14.5
pohly,214,10,13,7,0.538,0.994,0.063,4.277,0.888,0.269,16.462,9.0,22.285,0.546,6.0,2.538,2.0,1.266,0.219,1.0,1.911,1.0,1.545,0.351,1.0,0.776,0.0,4.548,0.895,0.03,1.125,0.116,4.047,0.855,0.417,0.866,0.063,3.59,0.863,0.385,21.4,11.0,26.825,0.574,26.75
pionbot,300,3,23,1,0.043,0.526,0.001,8.293,0.993,0.002,13.043,13.0,0.976,0.038,2.0,2.043,2.0,0.209,0.02,0.0,2.0,2.0,0.232,0.02,0.0,0.957,0.001,11.698,0.993,0.0,0.093,0.003,0.583,0.946,0.0,0.526,0.001,8.293,0.993,0.002,100.0,148.0,84.006,0.324,73.0
bulldozer-bot[bot],152,4,45,1,0.022,0.101,0.001,0.602,0.927,0.024,3.378,4.0,1.419,0.216,2.0,2.044,2.0,0.208,0.021,0.0,2.054,2.0,0.366,0.026,0.0,0.007,0.0,0.056,0.95,0.0,0.201,0.025,0.856,0.874,0.043,0.099,0.0,0.611,0.932,0.022,38.0,38.0,42.151,0.484,72.5
cyphar,224,15,24,12,0.5,9.284,0.104,25.531,0.851,4.692,9.333,3.5,19.642,0.683,7.0,2.167,2.0,1.88,0.345,1.25,2.036,1.0,2.0,0.377,1.0,3.666,0.0,10.979,0.761,0.303,15.295,1.51,34.324,0.802,15.672,11.117,0.247,28.651,0.833,8.694,14.933,8.0,17.04,0.553,20.5
alexanderbez,248,12,7,6,0.857,5.77,0.077,19.646,0.902,0.415,35.429,8.0,58.381,0.679,34.0,4.571,5.0,3.645,0.402,4.5,8.857,3.0,12.84,0.641,11.25,33.794,0.041,70.15,0.717,23.45,17.742,0.199,41.769,0.829,20.218,8.136,0.106,23.74,0.875,1.331,20.667,10.5,22.653,0.516,20.0
al-cibot,92,2,3,1,0.333,21.887,0.262,42.371,0.792,22.649,30.667,16.0,27.154,0.348,24.0,1.333,1.0,0.577,0.167,0.5,3.833,3.0,3.583,0.446,4.25,35.867,0.334,82.344,0.723,33.034,49.17,27.396,51.204,0.548,71.347,42.972,14.681,54.951,0.631,68.742,46.0,46.0,53.74,0.413,38.0
anipos-bulldozer[bot],126,3,4,2,0.5,16.253,0.007,44.603,0.848,3.611,31.5,35.5,21.517,0.317,30.0,2.25,2.5,0.957,0.194,1.25,5.727,3.0,5.889,0.503,6.75,15.749,0.021,35.502,0.727,6.806,80.242,75.192,81.392,0.481,67.734,16.265,0.005,46.183,0.847,3.127,42.0,48.0,11.269,0.106,10.0
boazsegev,15,8,5,4,0.8,143.76,0.162,254.895,0.768,169.972,3.0,2.0,1.732,0.24,1.0,2.2,2.0,1.304,0.291,2.0,2.143,2.0,1.069,0.248,1.0,15.203,0.068,40.029,0.797,0.139,317.703,255.18,321.597,0.512,485.281,167.703,1.978,269.085,0.729,223.238,1.875,1.0,1.808,0.375,0.5
bashfulrobot,296,12,15,9,0.6,5.388,0.14,16.986,0.88,1.476,19.733,3.0,64.588,0.846,3.5,1.6,1.0,0.91,0.261,1.0,6.298,2.0,12.702,0.657,4.5,13.607,0.094,29.118,0.71,11.911,20.648,1.808,36.205,0.759,17.868,19.227,0.377,35.689,0.774,17.686,24.667,1.5,75.449,0.858,3.25
maxisam,52,11,35,34,0.971,39.877,3.708,69.184,0.739,50.854,1.486,1.0,1.738,0.298,0.0,1.314,1.0,1.051,0.214,0.0,1.3,1.0,1.305,0.218,0.0,0.109,0.0,0.615,0.695,0.0,52.035,18.832,75.185,0.667,80.791,33.257,0.91,52.438,0.723,54.22,4.727,2.0,7.989,0.612,2.0
blatinier,16,4,2,2,1.0,67.128,0.001,129.694,0.793,50.886,8.0,8.0,9.899,0.438,7.0,2.0,2.0,1.414,0.25,1.0,5.333,6.0,4.041,0.333,4.0,301.714,236.396,339.123,0.239,334.372,50.887,50.887,8.418,0.058,5.952,67.128,0.001,129.694,0.793,50.886,4.0,5.0,2.0,0.188,1.0
botellaa,243,10,16,3,0.188,4.092,0.028,8.786,0.814,2.876,15.188,4.0,25.122,0.7,8.5,2.375,1.5,1.784,0.368,3.0,3.115,2.5,2.168,0.368,3.0,5.136,0.011,14.076,0.815,2.34,7.657,2.892,10.243,0.615,9.081,4.609,0.178,9.303,0.793,4.699,24.3,32.0,16.235,0.324,25.25
sarutak,10,4,4,3,0.75,53.899,0.388,108.751,0.796,1.984,2.5,2.5,1.732,0.3,3.0,1.0,1.0,0.0,0.0,0.0,1.429,1.0,0.787,0.229,0.5,27.459,0.0,72.549,0.499,0.116,48.812,0.414,117.988,0.828,1.497,48.812,0.414,117.988,0.828,1.497,2.5,2.5,1.732,0.3,3.0
gmsgowtham,205,4,2,1,0.5,6.625,0.002,46.062,0.958,0.006,102.5,102.5,96.874,0.334,68.5,3.5,3.5,0.707,0.071,0.5,41.0,26.0,38.891,0.457,56.0,132.55,0.071,258.878,0.757,70.182,172.185,28.055,308.092,0.709,200.157,6.724,0.002,46.399,0.958,0.006,51.25,54.5,50.268,0.44,82.75
swift-server-bot,24,2,2,2,1.0,89.741,47.981,221.632,0.72,64.949,12.0,12.0,2.828,0.083,2.0,1.0,1.0,0.0,0.0,0.0,8.0,10.0,4.359,0.222,4.0,664.297,168.001,964.647,0.578,863.604,35.579,35.579,39.229,0.39,27.739,35.579,35.579,39.229,0.39,27.739,12.0,12.0,2.828,0.083,2.0
phpstan-bot,300,9,8,3,0.375,2.52,0.049,8.165,0.875,0.805,37.5,6.0,78.402,0.766,17.25,2.875,2.0,2.416,0.375,1.0,3.297,2.0,4.275,0.497,2.5,2.832,0.004,8.286,0.839,0.184,5.51,0.729,12.829,0.797,4.864,2.071,0.054,5.735,0.859,0.913,33.333,13.0,61.606,0.667,5.0
wptfyibot,297,3,1,1,1.0,3.223,0.0,12.307,0.931,0.008,297.0,297.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,297.0,297.0,0.0,0.0,0.0,953.96,953.96,0.0,0.0,0.0,,,0.0,0.0,,3.299,0.0,12.501,0.932,0.009,99.0,92.0,13.0,0.052,11.5
eventstore-bot,153,4,7,1,0.143,14.053,23.393,13.804,0.436,23.994,21.857,3.0,48.629,0.764,4.5,1.429,1.0,1.134,0.257,0.0,4.781,1.0,7.369,0.638,2.25,52.827,0.0,115.789,0.509,29.984,14.372,8.759,19.443,0.629,23.987,9.365,0.006,13.401,0.59,23.991,38.25,28.0,39.978,0.472,30.75
jbsmith7741,103,14,11,7,0.636,18.627,0.05,49.761,0.862,3.826,9.364,2.0,14.841,0.674,7.5,3.0,2.0,3.033,0.452,3.0,1.943,1.0,1.524,0.334,1.0,12.891,0.0,35.891,0.728,0.899,23.399,0.082,60.329,0.859,3.837,19.577,0.029,53.492,0.875,2.634,7.357,4.0,7.967,0.515,7.75
wdes-bot,18,2,1,1,1.0,39.459,0.0,70.133,0.709,20.974,18.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,670.809,670.809,0.0,0.0,0.0,,,0.0,0.0,,24.25,0.0,60.808,0.816,0.409,9.0,9.0,0.0,0.0,0.0
dlouzan,37,12,7,6,0.857,47.979,1.035,125.782,0.849,26.225,5.286,3.0,5.648,0.479,4.0,2.857,2.0,2.911,0.443,2.0,3.083,1.5,3.965,0.516,1.25,9.991,0.0,32.557,0.803,1.092,146.122,46.506,199.213,0.615,204.896,58.097,0.137,141.264,0.839,26.965,3.083,2.0,2.746,0.421,3.0
ui5-webcomponents-react-bot,140,4,1,1,1.0,14.71,0.0,81.143,0.844,0.0,140.0,140.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,140.0,140.0,0.0,0.0,0.0,2044.683,2044.683,0.0,0.0,0.0,,,0.0,0.0,,42.921,0.0,137.357,0.831,0.004,35.0,23.5,34.438,0.439,38.5
pangeo-bot,147,9,6,3,0.5,12.485,0.966,30.367,0.763,16.312,24.5,18.5,18.78,0.378,23.25,2.667,2.0,1.966,0.354,2.25,2.13,1.0,2.606,0.439,1.0,9.105,0.0,32.744,0.758,0.037,17.567,2.648,42.503,0.797,14.319,9.354,0.068,26.87,0.864,6.015,16.333,5.0,24.86,0.647,21.0
gabeluci-bot,300,4,1,1,1.0,2.273,0.0,5.918,0.821,0.978,300.0,300.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,679.685,679.685,0.0,0.0,0.0,,,0.0,0.0,,2.461,0.0,6.174,0.816,1.374,75.0,59.5,31.337,0.158,16.5
ory-bot,129,2,10,1,0.1,16.337,1.352,26.634,0.731,23.332,12.9,6.0,14.441,0.494,11.75,1.4,1.0,0.516,0.171,1.0,1.449,1.0,0.879,0.244,1.0,5.869,0.0,17.13,0.667,0.219,17.827,1.193,28.475,0.724,24.745,7.746,0.506,12.008,0.695,17.828,64.5,64.5,84.146,0.461,59.5
rmconsole5-wk,102,5,15,1,0.067,19.643,0.0,51.342,0.846,1.951,6.8,2.0,11.583,0.617,0.5,2.333,2.0,0.976,0.171,0.0,3.643,2.0,3.234,0.391,2.0,21.82,0.0,72.874,0.891,0.013,50.852,23.003,71.67,0.653,69.061,16.634,0.0,45.997,0.855,1.939,20.4,17.0,13.777,0.333,13.0
open-nasa-robot,6,1,1,1,1.0,378.698,0.013,846.65,0.8,0.241,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1893.488,1893.488,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,6.0,6.0,0.0,0.0,0.0
ninjarobot,35,10,4,3,0.75,36.608,0.123,86.095,0.829,26.457,8.75,4.5,11.026,0.536,8.25,3.75,2.5,3.594,0.417,2.75,3.182,1.0,3.281,0.483,3.5,90.048,0.0,242.612,0.71,15.956,25.415,12.308,35.042,0.652,27.207,40.054,0.121,92.488,0.83,27.092,3.5,2.5,2.953,0.386,2.0
williaster,50,9,2,2,1.0,34.331,0.219,73.835,0.822,21.098,25.0,25.0,22.627,0.32,16.0,5.0,5.0,4.243,0.3,3.0,12.5,4.5,18.52,0.61,13.5,412.412,139.107,650.051,0.546,521.925,10.859,2.211,16.563,0.605,14.774,36.64,0.331,63.87,0.762,63.154,5.556,5.0,4.126,0.391,5.0
concourse-bot,8,2,3,1,0.333,164.46,0.796,292.511,0.746,184.635,2.667,2.0,2.082,0.333,2.0,1.333,1.0,0.577,0.167,0.5,2.667,2.0,2.082,0.333,2.0,24.736,0.008,42.837,0.5,37.1,538.507,538.507,342.591,0.225,242.248,359.007,296.259,394.138,0.483,390.374,4.0,4.0,2.828,0.25,2.0
alfred-skyblue,122,13,14,10,0.714,16.723,2.226,32.142,0.758,20.862,8.714,3.5,11.638,0.6,11.0,2.5,1.5,1.829,0.373,2.75,2.259,1.0,2.165,0.414,1.0,10.327,0.0,32.112,0.732,1.152,27.657,17.442,34.469,0.613,30.483,17.809,4.18,29.221,0.723,23.579,9.385,5.0,12.653,0.54,2.0
biocondabot,187,7,1,1,1.0,0.44,0.004,0.787,0.755,0.59,187.0,187.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,187.0,187.0,0.0,0.0,0.0,81.908,81.908,0.0,0.0,0.0,,,0.0,0.0,,0.457,0.003,0.808,0.748,0.659,26.714,38.0,22.403,0.414,39.0
leesmet,238,13,5,3,0.6,3.146,0.186,9.489,0.856,1.125,47.6,2.0,98.119,0.76,8.0,3.8,2.0,5.167,0.526,1.0,23.8,11.5,36.989,0.644,26.0,68.057,39.606,107.877,0.583,77.902,7.219,1.099,17.294,0.771,1.717,3.391,0.167,9.862,0.852,1.218,18.308,14.0,24.513,0.535,12.0
roboquat,89,5,2,1,0.5,2.914,0.009,5.749,0.747,3.016,44.5,44.5,55.861,0.444,39.5,5.0,5.0,0.0,0.0,0.0,29.667,34.0,22.811,0.337,22.5,71.252,95.568,62.661,0.368,59.016,21.345,21.345,20.182,0.334,14.271,2.865,0.0,5.77,0.751,3.016,17.8,8.0,17.627,0.454,33.0
cla-bot-2021[bot],59,1,11,1,0.091,35.106,23.793,37.997,0.522,34.722,5.364,2.0,12.168,0.672,1.0,1.0,1.0,0.0,0.0,0.0,1.903,1.0,1.814,0.383,1.0,30.12,0.0,61.859,0.447,19.437,36.748,25.81,35.062,0.476,33.837,,,0.0,0.0,,59.0,59.0,0.0,0.0,0.0
ibmdotcom-bot,296,4,3,1,0.333,2.208,0.101,7.869,0.9,0.338,98.667,6.0,163.98,0.644,143.0,2.333,2.0,1.528,0.286,1.5,26.909,10.0,55.861,0.735,18.0,57.877,6.154,128.443,0.72,33.584,1.473,0.483,1.718,0.587,2.783,7.16,0.879,14.329,0.785,4.304,74.0,60.5,85.787,0.534,128.0
przembot,10,4,5,5,1.0,207.794,0.37,347.042,0.705,257.369,2.0,1.0,1.732,0.36,1.0,1.2,1.0,0.447,0.133,0.0,1.429,1.0,0.787,0.229,0.5,0.062,0.0,0.138,0.346,0.034,311.619,142.763,392.294,0.607,559.104,167.561,0.067,343.299,0.76,128.868,2.5,2.5,0.577,0.1,1.0
ampproject-artifacts-bot,117,1,1,1,1.0,18.0,5.502,29.781,0.715,19.362,117.0,117.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,117.0,117.0,0.0,0.0,0.0,2087.953,2087.953,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,117.0,117.0,0.0,0.0,0.0
gittools-bot,10,3,1,1,1.0,69.174,0.121,207.145,0.874,0.325,10.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,622.566,622.566,0.0,0.0,0.0,,,0.0,0.0,,0.175,0.121,0.189,0.464,0.183,3.333,4.0,2.082,0.267,2.0
leha-bot,93,13,57,48,0.842,22.972,3.724,38.255,0.715,27.77,1.632,1.0,1.577,0.333,0.0,1.263,1.0,0.613,0.176,0.0,1.274,1.0,0.99,0.2,0.0,0.145,0.0,0.808,0.639,0.0,29.207,14.965,41.155,0.642,39.151,20.242,3.295,29.779,0.689,27.397,7.154,4.0,11.104,0.599,4.0
reductionista,223,11,8,5,0.625,6.834,0.289,18.284,0.846,4.162,27.875,3.0,62.634,0.782,13.5,3.0,2.0,2.777,0.427,2.5,7.964,3.0,11.094,0.61,8.5,34.255,1.529,59.569,0.664,49.838,20.664,5.71,32.945,0.708,24.403,11.035,0.991,23.695,0.792,8.987,20.273,8.0,31.458,0.659,11.5
liferay-continuous-integration,200,5,18,18,1.0,0.044,0.01,0.111,0.769,0.034,11.111,6.5,11.782,0.503,11.25,1.389,1.0,0.502,0.171,1.0,1.709,1.0,1.273,0.32,1.0,0.016,0.0,0.051,0.69,0.001,0.06,0.011,0.14,0.786,0.033,0.002,0.0,0.003,0.68,0.001,40.0,8.0,71.554,0.64,0.0
crunchbot,300,3,3,1,0.333,1.054,0.0,5.72,0.932,0.001,100.0,94.0,12.166,0.049,11.0,2.333,2.0,0.577,0.095,0.5,1.923,2.0,0.607,0.107,0.0,0.028,0.0,0.162,0.943,0.0,2.005,0.001,7.836,0.898,1.05,1.015,0.0,6.244,0.945,0.001,100.0,144.0,82.347,0.324,73.0
ento,42,11,17,11,0.647,51.332,1.048,99.218,0.781,43.664,2.471,2.0,1.841,0.37,2.0,1.824,1.0,1.334,0.311,1.0,1.5,1.0,0.793,0.24,1.0,3.313,0.0,11.651,0.771,0.026,74.513,19.499,115.681,0.711,86.619,61.739,2.207,109.905,0.76,56.574,3.818,3.0,3.25,0.424,3.5
webfansplz,235,15,14,10,0.714,3.895,0.051,12.6,0.895,0.381,16.786,1.0,55.127,0.863,0.75,2.429,1.0,3.567,0.508,0.0,8.704,2.0,12.973,0.657,10.0,18.49,0.046,34.527,0.6,23.6,15.853,4.454,26.068,0.726,21.121,4.042,0.04,12.058,0.885,0.406,15.667,7.0,18.623,0.543,13.0
bitnami-bot,207,7,14,1,0.071,0.195,0.001,0.766,0.899,0.055,14.786,1.0,32.688,0.791,2.25,2.071,1.0,2.018,0.406,0.75,5.049,5.0,3.542,0.386,6.0,0.316,0.022,0.816,0.771,0.267,0.681,0.083,1.509,0.801,0.526,0.183,0.001,0.769,0.901,0.032,29.571,29.0,23.706,0.371,14.5
lepture,113,13,16,8,0.5,19.055,0.105,62.279,0.878,7.402,7.062,2.5,14.888,0.638,3.0,2.688,2.0,1.448,0.281,1.25,2.26,1.0,2.302,0.429,1.75,12.116,0.0,45.249,0.82,0.054,31.19,0.75,88.508,0.856,19.976,18.851,0.105,67.921,0.899,4.759,8.692,4.0,11.22,0.558,7.0
giantrobots,9,6,2,1,0.5,173.569,10.448,312.371,0.752,189.589,4.5,4.5,3.536,0.278,2.5,3.0,3.0,1.414,0.167,1.0,3.0,3.0,1.0,0.148,1.0,120.465,0.021,208.619,0.667,180.671,513.577,513.577,529.295,0.364,374.268,174.675,10.446,353.566,0.776,109.695,1.5,1.0,0.837,0.241,0.75
apollo-cla,81,1,19,2,0.105,24.836,16.444,26.281,0.525,22.692,4.263,2.0,4.053,0.482,6.0,1.0,1.0,0.0,0.0,0.0,1.174,1.0,0.382,0.122,0.0,4.117,0.0,14.737,0.595,0.0,25.042,16.602,26.012,0.51,22.015,,,0.0,0.0,,81.0,81.0,0.0,0.0,0.0
alwinesch,211,12,11,4,0.364,4.082,0.239,17.824,0.902,0.696,19.182,11.0,27.77,0.636,18.5,2.636,2.0,1.502,0.301,2.0,2.221,1.0,3.166,0.456,1.0,2.066,0.0,8.018,0.83,0.107,7.031,0.249,25.868,0.908,0.929,7.108,0.167,25.655,0.909,0.793,17.583,7.5,35.946,0.694,12.25
uport-automation-bot,73,4,8,2,0.25,17.822,0.008,64.018,0.915,0.762,9.125,9.0,7.699,0.42,10.25,2.625,3.0,0.916,0.173,1.0,2.92,3.0,0.909,0.123,0.0,0.078,0.007,0.334,0.88,0.03,53.384,2.086,103.304,0.793,32.899,18.261,0.007,64.884,0.913,0.405,18.25,23.5,11.529,0.25,6.75
benbot,56,7,47,43,0.915,36.976,10.09,72.534,0.766,25.547,1.191,1.0,0.537,0.141,0.0,1.149,1.0,0.36,0.11,0.0,1.12,1.0,0.328,0.094,0.0,0.684,0.0,3.138,0.645,0.0,40.806,11.05,75.994,0.753,44.046,22.0,2.368,39.959,0.756,17.873,8.0,2.0,13.832,0.653,4.0
pullrequest-derek-dev[bot],14,2,1,1,1.0,114.835,0.245,340.105,0.885,0.496,14.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,1492.852,1492.852,0.0,0.0,0.0,,,0.0,0.0,,372.602,135.733,578.548,0.659,508.247,7.0,7.0,7.071,0.357,5.0
cognite-bulldozer[bot],221,3,11,1,0.091,5.117,0.001,19.961,0.926,0.08,20.091,9.0,24.878,0.582,28.0,2.455,3.0,0.688,0.135,1.0,4.093,2.0,3.281,0.38,3.75,2.297,0.001,11.246,0.948,0.062,18.9,1.984,36.39,0.766,21.016,6.677,0.001,22.296,0.899,0.119,73.667,57.0,28.868,0.151,25.0
fossabot,299,5,114,55,0.482,0.943,0.0,2.81,0.855,0.013,2.623,3.0,0.696,0.117,1.0,2.167,2.0,0.608,0.14,1.0,1.625,1.0,0.853,0.259,1.0,0.007,0.0,0.05,0.885,0.0,1.529,0.002,3.463,0.818,1.266,1.035,0.001,2.996,0.859,0.015,59.8,52.0,25.46,0.19,8.0
troyalford,19,4,1,1,1.0,38.315,0.037,162.349,0.944,0.06,19.0,19.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,689.674,689.674,0.0,0.0,0.0,,,0.0,0.0,,86.131,0.022,243.531,0.875,0.057,4.75,5.5,1.893,0.171,1.75
bogdan,48,10,19,15,0.789,39.363,20.887,60.18,0.682,51.061,2.526,1.0,2.342,0.432,3.0,1.632,1.0,1.012,0.282,1.5,1.548,1.0,1.48,0.293,1.0,6.82,0.0,23.404,0.74,0.014,54.622,34.238,67.505,0.576,55.37,46.602,28.648,49.323,0.551,60.265,4.8,2.5,4.541,0.462,5.0
forking-renovate[bot],146,4,93,13,0.14,0.658,0.331,0.962,0.621,0.633,1.57,1.0,1.219,0.297,1.0,1.097,1.0,0.297,0.08,0.0,1.09,1.0,0.357,0.078,0.0,0.012,0.0,0.074,0.584,0.0,0.705,0.374,0.989,0.606,0.656,0.433,0.343,0.326,0.411,0.54,36.5,11.0,58.066,0.647,39.5
dmage,211,12,30,7,0.233,10.123,0.117,24.241,0.848,5.332,7.033,2.0,13.999,0.659,7.75,2.133,1.0,1.961,0.386,1.0,1.773,1.0,2.32,0.36,1.0,3.009,0.0,13.883,0.849,0.003,14.982,1.174,28.389,0.778,19.442,9.925,0.159,23.082,0.834,5.539,17.583,12.0,16.79,0.499,34.25
egbot,248,12,11,8,0.727,4.281,0.058,13.9,0.902,0.508,22.545,4.0,61.865,0.788,3.5,2.909,2.0,3.048,0.335,0.0,7.75,2.0,12.7,0.656,4.5,22.066,0.016,48.941,0.786,8.444,11.33,0.329,24.217,0.815,5.449,3.47,0.039,12.745,0.919,0.268,20.667,12.0,22.256,0.533,31.0
jschr,29,9,15,14,0.933,71.125,18.825,115.701,0.698,78.802,1.933,1.0,1.831,0.386,1.0,1.667,1.0,1.291,0.32,0.5,1.706,1.0,1.404,0.333,0.0,2.964,0.0,8.187,0.516,0.0,121.319,69.255,133.363,0.527,112.235,80.281,8.075,135.41,0.723,111.806,3.222,2.0,2.991,0.352,1.0
red-bot,300,1,3,1,0.333,4.19,1.012,8.297,0.721,4.034,100.0,101.0,47.508,0.211,47.5,1.0,1.0,0.0,0.0,0.0,2.703,2.0,2.99,0.423,2.0,5.899,0.003,18.555,0.769,3.999,5.438,2.003,8.285,0.635,5.747,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
aporeto-bot,300,2,14,1,0.071,3.06,0.0,17.158,0.949,0.0,21.429,24.0,7.325,0.125,0.75,1.786,2.0,0.426,0.094,0.0,1.003,1.0,0.058,0.003,0.0,0.637,0.0,11.012,0.0,0.0,2.431,0.0,13.297,0.947,0.0,59.826,59.826,43.346,0.256,30.65,150.0,150.0,195.161,0.46,138.0
emiyl,298,2,5,4,0.8,3.026,0.056,7.002,0.813,2.489,59.6,1.0,80.242,0.591,146.0,1.2,1.0,0.447,0.133,0.0,1.33,1.0,0.471,0.166,1.0,2.039,0.0,5.857,0.631,0.521,1.982,0.001,5.917,0.877,0.421,6.01,3.471,6.955,0.488,6.598,149.0,149.0,207.889,0.493,147.0
dreadfulbot,25,9,11,9,0.818,52.175,0.496,127.268,0.844,29.223,2.273,1.0,4.221,0.509,0.0,1.364,1.0,1.206,0.242,0.0,2.273,1.0,4.221,0.509,0.0,0.71,0.0,2.354,0.0,0.0,124.439,50.248,177.317,0.636,90.914,62.201,0.302,137.734,0.818,48.178,2.778,2.0,2.048,0.373,4.0
mondaychen,12,3,10,10,1.0,110.986,48.662,120.87,0.538,156.117,1.2,1.0,0.632,0.15,0.0,1.1,1.0,0.316,0.082,0.0,1.091,1.0,0.302,0.076,0.0,2.015,0.0,6.684,0.0,0.0,119.867,60.912,123.567,0.519,181.332,87.407,33.326,135.457,0.621,42.789,4.0,3.0,2.646,0.278,2.5
smarterclayton,36,3,10,8,0.8,49.278,5.022,87.175,0.764,59.574,3.6,1.0,5.168,0.572,3.0,1.2,1.0,0.422,0.133,0.0,3.273,1.0,3.289,0.475,5.0,21.394,0.0,54.384,0.607,4.267,148.938,117.779,109.94,0.392,146.427,122.534,115.793,110.723,0.459,118.658,12.0,7.0,13.229,0.463,12.5
clarin-bot,41,4,2,1,0.5,42.548,0.085,76.574,0.776,46.32,20.5,20.5,13.435,0.232,9.5,2.0,2.0,1.414,0.25,1.0,6.833,6.0,6.585,0.467,7.5,216.504,179.665,240.741,0.298,431.686,80.583,44.676,93.583,0.463,14.147,38.064,0.001,76.631,0.807,39.918,10.25,10.0,0.5,0.018,0.25
cernvm-bot,211,1,1,1,1.0,8.796,1.205,21.296,0.789,4.362,211.0,211.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,211.0,211.0,0.0,0.0,0.0,1847.232,1847.232,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,211.0,211.0,0.0,0.0,0.0
ontobot,228,4,3,3,1.0,9.316,8.755,11.463,0.588,12.298,76.0,2.0,128.172,0.649,111.0,2.667,2.0,1.155,0.167,1.0,32.571,6.0,47.067,0.66,45.5,293.569,144.089,392.59,0.492,455.916,9.971,5.839,9.214,0.439,15.283,7.519,1.035,10.698,0.653,12.019,57.0,65.5,40.108,0.32,29.0
rtbot,165,4,6,2,0.333,13.025,12.527,10.746,0.449,23.002,27.5,9.0,35.826,0.601,40.0,1.5,1.5,0.548,0.167,1.0,2.661,1.0,3.239,0.464,2.0,24.12,0.0,41.998,0.504,41.993,10.501,10.481,7.52,0.39,10.042,7.399,2.767,8.488,0.56,14.865,41.25,20.5,57.297,0.611,58.25
openmrs-bot,144,2,18,2,0.111,14.496,0.001,42.116,0.869,6.851,8.0,3.5,11.13,0.498,3.0,1.889,2.0,0.323,0.052,0.0,2.286,2.0,1.17,0.243,1.5,4.668,0.001,25.751,0.953,0.001,28.691,5.193,58.774,0.784,23.256,12.999,0.001,35.749,0.861,3.188,72.0,72.0,19.799,0.097,14.0
